melhorar,cluster,micro
Consertem o ranking,Geral,Plataforma
"O que eu achava que podia melhorar era em relação a contagem de horas/porcentagem do conteúdo os slots, mas o Breno apresentou mudanças na página, ficando bem melhor do que eu queria. ",-,-
TUDO TOP,-,-
No momento sem comentários.,-,-
"No momento, todas as questões que eu achava que poderiam melhorar da IP 1.0 pra 2.0 foram melhoradas (melhor distribuição de conteúdo pra não ficar tão corrido, dinâmicas mais desafiadoras)",-,-
N/A,-,-
O curso exige Muito para ser bem feito. É praticamente impossível conciliar para qualquer pessoa que trabalhe,Slot,Carga Horária
.,-,-
"Aproveitando todas as melhorias na plataforma das aulas eu sinto falta de um ""botão"" onde podemos deixar uma aula rodar automaticamente após o final da aula anterior, sem precisar ficar selecionando aula por aula para poder assistir. Não sei se já estão pensando nisso, mas pra mim é um ponto que seria bem bacana se tivesse. No mais por enquanto está bom, as melhorias estão muito bacanas.",Geral,Plataforma
"Gostaria de ver mais aplicações, falamos geralmente sempre dos mesmos exemplos.",Day,Conteúdo
"Somente sobre os termos , muitas pessoas não estão acostumado com os termos em inglês, talves durante da uma explicada. Exemplo se for falar da sprint o que é sprint?",Geral,Comunicação
por enquanto ta perfeito,-,-
"Manter os grupos de projeto para dinâmica,  isso ia ajudar no projeto real",Day,Estrutura
"gostei das duvidas pontuais, porém não acho que o day seja para conversar dos projetos pontuais, tem mentoria para isso",Day,Estrutura
Tempo dos days longos,Day,Carga Horária
desnecessário tantas horas repetindo a mesma coisa q assistimos nos videos,Day,Carga Horária
"O day de hoje foi muito extenso, se torna cansativo quando vai até as 18:00. 
",Day,Carga Horária
"O compromisso com o tempo juntamente com a pausa de 2hrs para almoçar 
",Day,Carga Horária
"- Alguns erros da plataforma, mas acredito que houve uma melhora do slot 2 pro slot 3

",Geral,Plataforma
"- Na aula de hoje, descobri algo do SIPOC que não tinha ficado claro para o meu grupo nas aulas. Por isso, algumas coisas acredito que precisam ficar mais claras. 
",Slot,Estrutura
"- As entregas para o slot 4 não ficaram muito bem organizadas, não tem nenhum documento que temos que entregar que analisa as causas do erro no processo. Claro que podemos fazer isso a parte, mas acredito que precisamos entregar isso pra DNC. 
",Slot,Materiais
Podem melhorar nso bugs da plataforma. O curso foi redesenhado e muitas coisas estão com nomes errados e materiais errados,Geral,Plataforma
Podem melhorar nso bugs da plataforma. O curso foi redesenhado e muitas coisas estão com nomes errados e materiais errados,Slot,Materiais
"não há pontos a melhorar
",-,-
"No momento, otimizar os recursos que dependem da integrações de DBs e APIs que foram disponibilizados. Nesse exemplo, enquadram-se ranking, presenças e afins.

Além disso, revisar parâmetros de correção. Nesse ponto cabem algumas observações importantes: ao restringir os critérios de correção a um gabarito listado, o comportamento dos alunos tende a ser nivelado por baixo, restringindo seu raciocínio analítico e buscando se enquadrar nos critérios exigidos. É um risco no resultado global do curso a longo prazo, considerando o momento de expansão da escola. Garantir que corretores não estejam sobrecarregados, de forma com que possam corrigir assignments e deliverables baseado no raciocínio dos alunos, ao invés de um guia de certo x errado (o que não necessariamente existe na prática do mundo real). Caso contrário, essa parte de correção seguirá exatamente a mesma lógica de instituições tradicionais de ensino, nas quais os gabaritos são direcionados a monitores e ocorre um acúmulo desproporcional de correções imprecisas.",Geral,Plataforma
